-k,--kmer-size: 4(int), -t,--tuple-size: 2(int), -l,--str-len: 100(int), -s,--sigma-len: 4(int), -m,--dim: 50(int), -B,--num-bins: 5(int), 
ed 	 td 	 hd 	 HD 
81,	 8231,	 0,	 0
37,	 5301,	 1,	 0
76,	 7909,	 0,	 0
62,	 6448,	 0,	 0
85,	 8226,	 0,	 0
27,	 3893,	 0,	 0
89,	 8278,	 0,	 0
72,	 7404,	 0,	 0
43,	 5695,	 0,	 0
59,	 6610,	 0,	 0
79,	 8388,	 0,	 0
49,	 5761,	 0,	 0
82,	 7841,	 0,	 0
63,	 6597,	 0,	 0
90,	 7335,	 0,	 0
44,	 5708,	 0,	 0
87,	 8486,	 0,	 0
92,	 8429,	 0,	 0
54,	 5939,	 0,	 0
95,	 9240,	 0,	 0
89,	 7989,	 0,	 0
37,	 5123,	 0,	 0
92,	 8533,	 0,	 0
94,	 9339,	 0,	 0
70,	 8011,	 0,	 0
69,	 7882,	 0,	 0
79,	 7793,	 0,	 0
71,	 7440,	 0,	 0
93,	 9138,	 0,	 0
90,	 9075,	 0,	 0
78,	 7577,	 0,	 0
35,	 4839,	 0,	 0
42,	 5456,	 0,	 0
32,	 4313,	 0,	 0
63,	 6878,	 0,	 0
84,	 8727,	 0,	 0
19,	 2672,	 0,	 0
93,	 8029,	 0,	 0
88,	 8621,	 0,	 0
92,	 9200,	 0,	 0
29,	 4397,	 0,	 0
37,	 5131,	 0,	 0
78,	 7754,	 0,	 0
88,	 8350,	 1,	 0
103,	 10669,	 0,	 0
79,	 8272,	 0,	 0
60,	 7110,	 0,	 0
86,	 8484,	 0,	 0
91,	 7757,	 0,	 0
84,	 7589,	 0,	 0
71,	 7383,	 0,	 0
79,	 7681,	 0,	 0
15,	 2156,	 0,	 0
45,	 5928,	 0,	 0
94,	 9000,	 0,	 0
58,	 6890,	 0,	 0
74,	 7946,	 0,	 0
88,	 8851,	 0,	 0
91,	 8722,	 0,	 0
91,	 9128,	 0,	 0
84,	 8624,	 0,	 0
79,	 7793,	 0,	 0
36,	 5088,	 0,	 0
32,	 4030,	 0,	 0
79,	 8350,	 0,	 0
82,	 8240,	 0,	 0
61,	 6691,	 0,	 0
31,	 4251,	 0,	 0
68,	 7263,	 0,	 0
36,	 5102,	 0,	 0
39,	 5599,	 0,	 0
53,	 6825,	 0,	 0
85,	 8685,	 1,	 0
86,	 8269,	 0,	 0
66,	 7310,	 0,	 0
21,	 3300,	 0,	 0
67,	 7375,	 0,	 0
92,	 8118,	 1,	 0
79,	 7070,	 0,	 0
80,	 7220,	 0,	 0
88,	 7989,	 0,	 0
3,	 474,	 0,	 0
89,	 8694,	 0,	 0
80,	 8887,	 3,	 0
82,	 8049,	 0,	 0
88,	 8072,	 0,	 0
82,	 7882,	 2,	 0
22,	 3450,	 0,	 0
75,	 7212,	 0,	 0
43,	 5272,	 0,	 0
85,	 8808,	 0,	 0
48,	 6580,	 0,	 0
43,	 5141,	 0,	 0
79,	 8294,	 0,	 0
91,	 8368,	 0,	 0
90,	 9574,	 3,	 0
81,	 8195,	 0,	 0
84,	 7791,	 0,	 0
71,	 7532,	 0,	 0
74,	 7981,	 0,	 0
