ed, 	 td, 	 hd, 	 HD, 
1,	 36,	 0.5629,	 1.136
3,	 100,	 1.449,	 2.494
4,	 100,	 1.468,	 2.66
1,	 45,	 0.7525,	 1.35
1,	 45,	 0.8495,	 1.202
2,	 42,	 0.8766,	 0.09534
3,	 85,	 1.301,	 2.794
4,	 82,	 1.187,	 1.44
1,	 60,	 1.075,	 0.6414
4,	 82,	 1.656,	 1.069
4,	 100,	 1.348,	 3.018
2,	 47,	 0.653,	 1.509
1,	 36,	 0.6529,	 1.132
4,	 64,	 0.9881,	 2.054
3,	 66,	 1.177,	 1.195
0,	 0,	 0,	 0
3,	 85,	 1.224,	 2.514
3,	 122,	 1.821,	 1.016
1,	 45,	 0.6444,	 1.004
4,	 166,	 2.929,	 5.46
1,	 45,	 0.7767,	 1.119
4,	 100,	 1.665,	 3.019
4,	 84,	 1.257,	 1.799
4,	 94,	 1.51,	 1.153
1,	 36,	 0.5619,	 1.278
3,	 85,	 1.312,	 2.749
2,	 64,	 1.134,	 1.713
2,	 64,	 1.088,	 1.844
2,	 42,	 0.5671,	 0.8742
4,	 50,	 0.705,	 1.005
4,	 100,	 1.289,	 3.354
2,	 36,	 0.5517,	 0.6684
4,	 114,	 1.925,	 2.052
3,	 100,	 1.736,	 3.167
2,	 58,	 0.875,	 1.007
0,	 0,	 0,	 0
1,	 45,	 0.7559,	 1.202
0,	 0,	 0,	 0
3,	 79,	 1.241,	 1.888
3,	 166,	 3.002,	 3.938
3,	 96,	 1.701,	 1.759
3,	 84,	 1.256,	 1.857
2,	 46,	 0.7087,	 1.016
3,	 64,	 0.9936,	 1.064
3,	 60,	 1.237,	 0.1899
4,	 87,	 1.541,	 2.498
0,	 0,	 0,	 0
3,	 101,	 1.875,	 1.798
0,	 0,	 0,	 0
1,	 45,	 0.6331,	 1.533
3,	 48,	 0.6458,	 1.095
0,	 0,	 0,	 0
2,	 100,	 1.685,	 2.65
1,	 45,	 0.9085,	 1.289
4,	 86,	 1.494,	 2.197
5,	 110,	 1.427,	 3.413
0,	 0,	 0,	 0
2,	 117,	 2.247,	 1.312
1,	 36,	 0.6983,	 1.041
2,	 52,	 0.8512,	 1.281
0,	 0,	 0,	 0
4,	 108,	 1.331,	 2.603
3,	 78,	 1.439,	 2.323
3,	 40,	 0.6183,	 0.4108
1,	 36,	 0.5666,	 1.139
2,	 100,	 1.689,	 2.515
2,	 64,	 0.929,	 2.038
1,	 48,	 0.8984,	 0.7315
3,	 75,	 1.139,	 1.654
4,	 115,	 2.139,	 1.533
2,	 58,	 1.031,	 0.8559
1,	 68,	 1.204,	 0.6062
5,	 110,	 1.84,	 3.421
4,	 116,	 1.916,	 1.454
3,	 76,	 1.257,	 2.089
2,	 100,	 1.398,	 3.346
3,	 166,	 2.693,	 4.042
2,	 100,	 1.338,	 2.985
1,	 36,	 0.6877,	 1.07
2,	 86,	 1.873,	 1.239
2,	 64,	 1.058,	 2.446
0,	 0,	 0,	 0
0,	 0,	 0,	 0
2,	 64,	 1.265,	 1.987
4,	 87,	 1.605,	 2.773
4,	 122,	 1.848,	 3.254
0,	 0,	 0,	 0
1,	 36,	 0.5312,	 0.8596
3,	 85,	 1.176,	 3.278
2,	 12,	 0.2595,	 0.06261
3,	 166,	 2.213,	 4.645
1,	 42,	 0.6417,	 0.4627
3,	 116,	 1.851,	 1.47
4,	 152,	 2.107,	 2.834
3,	 85,	 1.471,	 2.49
3,	 88,	 1.539,	 0.9082
1,	 36,	 0.5742,	 1.013
0,	 0,	 0,	 0
3,	 94,	 1.681,	 1.587
2,	 64,	 0.9966,	 1.493
